iter	RMSE
154	1.791338264
155	1.788574917
156	1.785619197
157	1.782233754
158	1.778924371
159	1.776272649
160	1.773830975
161	1.771176508
162	1.769123118
163	1.765872851
164	1.764478005
165	1.762562518
166	1.75943924
167	1.756774297
168	1.753857749
169	1.751726536
170	1.749043642
171	1.747414573
172	1.746042781
173	1.744002548
174	1.741416515
175	1.739049139
176	1.737918396
177	1.736222618
178	1.734272283
179	1.732830336
180	1.731512782
181	1.729564621
182	1.72826454
183	1.725315511
184	1.722640627
185	1.721042079
186	1.719582773
187	1.718381656
188	1.716374667
189	1.714262572
190	1.712185624
191	1.710569557
192	1.708088312
193	1.704982065
194	1.702879715
195	1.700712279
196	1.699666675
197	1.698497931
198	1.69663123
199	1.694763101
200	1.693234958
201	1.691276731
202	1.688427812
203	1.686144107
204	1.685223951
205	1.684101781
206	1.682100257
207	1.680422798
208	1.679661698
209	1.677526077
210	1.675667667
211	1.67414502
212	1.672424596
213	1.671539851
214	1.669993381
215	1.66881613
216	1.666607286
217	1.664553007
218	1.663126454
219	1.660961398
220	1.658516137
221	1.656957864
222	1.654793257
223	1.652721193
224	1.65129642
225	1.650197716
226	1.649216768
227	1.647420628
228	1.64568424
229	1.644645414
230	1.643103422
231	1.641190616
232	1.639669267
233	1.637849869
234	1.636148735
235	1.635238677
236	1.634385018
237	1.632979385
238	1.630924338
239	1.630021903
240	1.628588514
241	1.625520777
242	1.623328186
243	1.621845791
244	1.620763405
245	1.620053569
246	1.618132847
247	1.61640864
248	1.614530296
249	1.613392628
250	1.611006086
251	1.609461256
252	1.606749981
253	1.605947349
254	1.604217095
255	1.602178052
256	1.59991091
257	1.598326316
258	1.596522076
259	1.595878034
260	1.594996874
261	1.593795883
262	1.592508413
263	1.591511068
264	1.589751364
265	1.588621321
266	1.586200979
267	1.585248284
268	1.583851351
269	1.582207093
270	1.581478216
271	1.580038511
272	1.577985655
273	1.576706249
274	1.575698359
275	1.574206798
276	1.572051596
277	1.570590612
278	1.569455811
279	1.567409412
280	1.566807926
281	1.564739619
282	1.56366307
283	1.56231608
284	1.561247661
285	1.560236141
286	1.559204031
287	1.558363923
288	1.555820775
289	1.554842776
290	1.552198267
291	1.551239302
292	1.549272248
293	1.548830783
294	1.548045476
295	1.546366832
296	1.544642981
297	1.542784085
298	1.540647021
299	1.539570306
300	1.537239771
301	1.535267153
302	1.533484168
303	1.532699908
304	1.530909112
305	1.530016569
306	1.528361027
307	1.527468239
308	1.525662715
309	1.52513474
310	1.524269181
311	1.523502076
312	1.521590603
313	1.519880227
314	1.517353271
315	1.516289221
316	1.515625432
317	1.513985522
318	1.512599929
319	1.510721163
320	1.509645745
321	1.508013555
322	1.507811584
323	1.506267069
324	1.50482267
325	1.503490108
326	1.502404289
327	1.501722246
328	1.500325385
329	1.498596479
330	1.498393329
331	1.49686283
332	1.496642817
333	1.495395565
334	1.49339011
335	1.492545544
336	1.490754195
337	1.489372486
338	1.488391314
339	1.487003304
340	1.485120856
341	1.484901785
342	1.483259022
343	1.482198818
344	1.481974184
345	1.47978854
346	1.478478778
347	1.477218943
348	1.474445619
349	1.473212734
350	1.4708912
351	1.470427704
352	1.468590676
353	1.467426867
354	1.467289794
355	1.466587768
356	1.465092767
357	1.463706239
358	1.46197598
359	1.46173846
360	1.459778436
361	1.458875599
362	1.457214843
363	1.456238115
364	1.454939083
365	1.454458407
366	1.454025798
367	1.452387107
368	1.450270393
369	1.449285563
370	1.447852052
371	1.446248375
372	1.444866219
373	1.44434817
374	1.443491928
375	1.44302508
376	1.442225525
377	1.440490414
378	1.4386148
379	1.436786038
380	1.436109974
381	1.435546758
382	1.434001032
383	1.432038832
384	1.430236772
385	1.429861547
386	1.428939859
387	1.426571012
388	1.425022646
389	1.422982557
390	1.421809694
391	1.421442258
392	1.419235868
393	1.419079303
394	1.417670269
395	1.417285169
396	1.416372618
397	1.415757398
398	1.414442144
399	1.412947499
400	1.411633224
401	1.410337161
402	1.409173948
403	1.407978385
404	1.40770561
405	1.406819943
406	1.40641121
407	1.405243297
408	1.403961317
409	1.402461922
410	1.400747153
411	1.398737932
412	1.398323058
413	1.397109766
414	1.395958374
415	1.394737344
416	1.392948462
417	1.391790126
418	1.390754605
419	1.389323517
420	1.387837281
421	1.386822358
422	1.385672814
423	1.385222025
424	1.384045571
425	1.382271273
426	1.381614582
427	1.380056445
428	1.378776466
429	1.377250962
430	1.375294469
431	1.374352879
432	1.373130962
433	1.371767306
434	1.371383184
435	1.369754566
436	1.368122823
437	1.367501044
438	1.366396777
439	1.364925289
440	1.363798879
441	1.362254466
442	1.362209279
443	1.361165127
444	1.359827483
445	1.359133904
446	1.358210348
447	1.357375147
448	1.356707542
449	1.356675262
450	1.355113808
451	1.353428205
452	1.352366367
453	1.350741693
454	1.349967918
455	1.349388212
456	1.348646831
457	1.347780709
458	1.347184747
459	1.346774764
460	1.345629605
461	1.345110338
462	1.344341029
463	1.344052136
464	1.343263712
465	1.342483349
466	1.341255223
467	1.340232279
468	1.33834848
469	1.336764854
470	1.336070855
471	1.335010498
472	1.333758177
473	1.33339198
474	1.332091284
475	1.331093969
476	1.330445199
477	1.328672916
478	1.327101376
479	1.326217406
480	1.325704985
481	1.324871789
482	1.324657487
483	1.323164716
484	1.322052121
485	1.320766281
486	1.319289976
487	1.319250721
488	1.318494247
489	1.318397124
490	1.31770983
491	1.317048462
492	1.316887078
493	1.316188061
494	1.315208705
495	1.314901029
496	1.314263326
497	1.313215113
498	1.312791284
499	1.312407179
500	1.310852867
501	1.310007052
502	1.309443833
503	1.308748522
504	1.308296761
505	1.307587547
506	1.306491856
507	1.30642681
508	1.305658353
509	1.305622721
510	1.304085385
511	1.303643992
512	1.303602164
513	1.302429437
514	1.302091899
515	1.300959934
516	1.299872124
517	1.298664143
518	1.29761588
519	1.297299732
520	1.29649538
521	1.296243683
522	1.296048464
523	1.294713364
524	1.294009788
525	1.293967459
526	1.292793422
527	1.291793485
528	1.290784707
529	1.290025471
530	1.289059651
531	1.287638327
532	1.286991074
533	1.286532572
534	1.285212928
535	1.284437181
536	1.284229622
537	1.282613888
538	1.281035336
539	1.280346351
540	1.279603586
541	1.27867661
542	1.277719736
543	1.27704037
544	1.276921201
545	1.276814063
546	1.275706844
547	1.275109704
548	1.274932793
549	1.274092921
550	1.273382517
551	1.273349747
552	1.273145158
553	1.272329685
554	1.272301715
555	1.271366712
556	1.27071451
557	1.269525271
558	1.268419001
559	1.266856201
560	1.266385715
561	1.266282317
562	1.265343426
563	1.265169811
564	1.264450559
565	1.263214143
566	1.2622613
567	1.261519635
568	1.260812705
569	1.259497231
570	1.25905843
571	1.257898409
572	1.257055738
573	1.256466521
574	1.25557527
575	1.254732531
576	1.253896666
577	1.25303194
578	1.252428819
579	1.251389087
580	1.25034254
581	1.249489731
582	1.248870216
583	1.248700396
584	1.247744185
585	1.246427852
586	1.245694921
587	1.244872755
588	1.244625928
589	1.243355911
590	1.242416006
591	1.241483514
592	1.240279908
593	1.23888509
594	1.238764928
595	1.238014038
596	1.237621229
597	1.236994831
598	1.236202479
599	1.235483563
600	1.235079135
601	1.234193595
602	1.233159188
603	1.232185099
604	1.231669869
605	1.231030964
606	1.23043221
607	1.229403359
608	1.228612589
609	1.227585368
610	1.226767507
611	1.225903708
612	1.225004612
613	1.224279578
614	1.224252394
615	1.222909935
616	1.221499654
617	1.2203388
618	1.219762496
619	1.218444067
620	1.216698561
621	1.216545932
622	1.215287933
623	1.214418977
624	1.213802319
625	1.213237884
626	1.21305331
627	1.211726003
628	1.210353634
629	1.210293109
630	1.209715613
631	1.209145218
632	1.208198636
633	1.207422731
634	1.206603262
635	1.205800633
636	1.205541445
637	1.204405422
638	1.203531218
639	1.203116506
640	1.202145006
641	1.201963422
642	1.201230366
643	1.201168465
644	1.200595696
645	1.199560303
646	1.198880385
647	1.198804513
648	1.198213423
649	1.197633541
650	1.197345517
651	1.196655926
652	1.196522543
653	1.195132307
654	1.194570413
655	1.193491231
656	1.193060737
657	1.192253373
658	1.192091178
659	1.1915731
660	1.190336273
661	1.189640922
662	1.188872837
663	1.188347854
664	1.187680383
665	1.186666355
666	1.185863799
667	1.185258315
668	1.184525457
669	1.184190365
670	1.183567681
671	1.182421234
672	1.182299909
673	1.182077347
674	1.181273994
675	1.180030053
676	1.179658133
677	1.179034708
678	1.178329232
679	1.177834396
680	1.176620604
681	1.1755765
682	1.174685129
683	1.173819223
684	1.17292261
685	1.17248216
686	1.171666456
687	1.170583287
688	1.170454949
689	1.169759134
690	1.169124796
691	1.168645853
692	1.167976359
693	1.167689915
694	1.167415531
695	1.166182439
696	1.165731011
697	1.165625571
698	1.164435914
699	1.163680111
700	1.163503448
701	1.162213969
702	1.161540721
703	1.161177699
704	1.160115798
705	1.159969286
706	1.159218541
707	1.158733887
708	1.158237228
709	1.157798116
710	1.157147404
711	1.156133166
712	1.154956181
713	1.153940863
714	1.153851105
715	1.153442429
716	1.15328386
717	1.152763599
718	1.152436085
719	1.15213412
720	1.151260983
721	1.150847475
722	1.150119574
723	1.149309935
724	1.148802791
725	1.14782757
726	1.147235452
727	1.146967438
728	1.146694352
729	1.146149553
730	1.145493863
731	1.145181048
732	1.144798858
733	1.144493714
734	1.143865478
735	1.142916528
736	1.142189067
737	1.141599119
738	1.141233767
739	1.140959643
740	1.14021989
741	1.139492454
742	1.138722088
743	1.13817149
744	1.137040821
745	1.136972669
746	1.136722234
747	1.136666287
748	1.136188001
749	1.1356796
750	1.134765133
751	1.134377809
752	1.132867325
753	1.132737747
754	1.132102663
755	1.131741229
756	1.130603304
757	1.129857104
758	1.129055325
759	1.128070295
760	1.128008168
761	1.127080313
762	1.126341199
763	1.126193391
764	1.125993595
765	1.125904733
766	1.125472162
767	1.125135346
768	1.124549842
769	1.124078911
770	1.123665812
771	1.123184584
772	1.121938315
773	1.121580637
774	1.120654599
775	1.120179396
776	1.119761404
777	1.118940539
778	1.11848822
779	1.11804007
780	1.117412818
781	1.117024601
782	1.116275095
783	1.115579276
784	1.115179854
785	1.114198147
786	1.113308358
787	1.112360021
788	1.112239306
789	1.111612927
790	1.110634111
791	1.109747037
792	1.109395989
793	1.109080977
794	1.108157412
795	1.107122754
796	1.106770081
797	1.106116771
798	1.105291289
799	1.104749208
800	1.104234582
801	1.1039726
802	1.103292573
803	1.103156325
804	1.102417695
805	1.101407518
806	1.100665952
807	1.10009604
808	1.099335674
809	1.098905117
810	1.098397689
811	1.097782591
812	1.097582043
813	1.09719387
814	1.096905205
815	1.096562529
816	1.096296892
817	1.095678621
818	1.095353137
819	1.09432037
820	1.094134206
821	1.093472118
822	1.092246324
823	1.091808094
824	1.091297346
825	1.091248756
826	1.090473771
827	1.089910442
828	1.0894012
829	1.088840282
830	1.088398259
831	1.087871704
832	1.087273761
833	1.08660195
834	1.085664341
835	1.085056875
836	1.084599595
837	1.08391268
838	1.083618734
839	1.083072275
840	1.082191509
841	1.081192575
842	1.08083378
843	1.080733303
844	1.080203707
845	1.080138472
846	1.080020333
847	1.079100447
848	1.078684446
849	1.07815111
850	1.077470247
851	1.076507607
852	1.075512025
853	1.075150353
854	1.075044683
855	1.074062655
856	1.073984495
857	1.073715417
858	1.073432276
859	1.072930178
860	1.072036623
861	1.071218263
862	1.071025134
863	1.070746819
864	1.070699745
865	1.070243653
866	1.069796796
867	1.069273119
868	1.069172491
869	1.068527372
870	1.068450457
871	1.067982528
872	1.067505362
873	1.066594663
874	1.065866812
875	1.065294031
876	1.064878547
877	1.064384617
878	1.064261943
879	1.064163958
880	1.063432162
881	1.062881657
882	1.062170867
883	1.06207895
884	1.061205521
885	1.060907668
886	1.060526094
887	1.060134838
888	1.060093174
889	1.059756627
890	1.05957662
891	1.059235425
892	1.058680074
893	1.057805668
894	1.057687354
895	1.057647594
896	1.056933897
897	1.056835664
898	1.056282858
899	1.056121903
900	1.055446172
901	1.05535609
902	1.054451664
903	1.053896262
904	1.053623232
905	1.053267874
906	1.052630418
907	1.05256547
908	1.052109482
909	1.05182819
910	1.051623005
911	1.051100908
912	1.050494237
913	1.050320868
914	1.050314041
915	1.050250007
916	1.050055091
917	1.049111554
918	1.048674758
919	1.04848418
920	1.047634528
921	1.047093686
922	1.046322138
923	1.045866019
924	1.045419534
925	1.045178506
926	1.044509283
927	1.044119026
928	1.043208161
929	1.04262868
930	1.041833693
931	1.041248547
932	1.040397484
933	1.039962489
934	1.039022638
935	1.038970098
936	1.038048074
937	1.037555253
938	1.036834357
939	1.036407602
940	1.036247619
941	1.035377646
942	1.034691251
943	1.033784748
944	1.033155083
945	1.032295325
946	1.031939057
947	1.031137338
948	1.030826604
949	1.030030281
950	1.029304134
951	1.028543967
952	1.028512091
953	1.028443416
954	1.027452749
955	1.026634707
956	1.026373765
957	1.025644935
958	1.024644296
959	1.024107248
960	1.023583059
961	1.021882895
962	1.021477208
963	1.021107233
964	1.020976456
965	1.020720045
966	1.020075317
967	1.019348576
968	1.019269579
969	1.018801385
970	1.01805158
971	1.017476233
972	1.01697988
973	1.016779084
974	1.01666231
975	1.016543774
976	1.016107558
977	1.015868587
978	1.015470795
979	1.014791031
980	1.014092364
981	1.014056801
982	1.013315827
983	1.012936929
984	1.012435623
985	1.01215193
986	1.012024721
987	1.011694603
988	1.011036646
989	1.010992365
990	1.010211256
991	1.00942543
992	1.00853633
993	1.007363137
994	1.007278684
995	1.006463825
996	1.005399909
997	1.00523141
998	1.004250207
999	1.003728201
